edad_categoria,nivel_educacion,rango_ingreso,tipo_donante,frecuencia_donacion,canal_donacion,participacion_eventos,voluntariado,años_como_donante,monto_ultima_donacion,confianza_financiera,confianza_mision,confianza_transparencia,confianza_liderazgo,satisfaccion_comunicacion,satisfaccion_impacto,satisfaccion_reconocimiento,satisfaccion_general,satisfaccion_transparencia,conexion_emocional,identificacion_mision,orgullo_donante,compromiso_futuro,percepcion_impacto,percepcion_eficacia,donara_proximo_año
26-35,Técnico,<500k,Individual,Semestral,Presencial,Nunca,No,1,234000,9,3,9,10,5,8,5,5,3,8,7,8,6,9,8,Sí
56-65,Universitario,<500k,Individual,Semestral,Teletón anual,Nunca,No,0,37000,5,10,6,10,3,7,7,10,8,4,7,5,10,9,3,No
56-65,Postgrado,500k-1M,Individual,Anual,Otro,4+,No,25,70000,10,10,6,5,7,7,9,9,8,7,10,10,5,7,7,No
26-35,Secundaria,1M-2M,Individual,Primera vez,Transferencia,Nunca,No,0,16000,5,3,10,1,6,10,3,4,1,9,3,9,9,7,4,Sí
46-55,Postgrado,2M-4M,Individual,Semestral,Otro,1 vez,Sí,1,15000,7,10,10,10,5,9,3,10,1,10,6,10,4,7,7,No
56-65,Universitario,2M-4M,Individual,Primera vez,Transferencia,1 vez,No,0,114000,4,5,6,10,6,6,9,5,8,6,6,8,6,6,6,No
46-55,Secundaria,1M-2M,Individual,Anual,Teletón anual,Nunca,No,12,29000,8,1,10,10,9,1,8,1,2,5,7,3,6,7,9,No
36-45,Técnico,1M-2M,Empresa,Semestral,Otro,Nunca,No,3,206000,10,6,8,10,7,4,8,3,7,10,7,10,9,9,5,No
26-35,Universitario,1M-2M,Empresa,Semestral,Teletón anual,Nunca,No,2,817000,9,6,8,4,8,6,5,3,5,4,7,7,7,8,10,Sí
18-25,Secundaria,500k-1M,Individual,Semestral,Teletón anual,1 vez,No,9,18000,6,10,10,10,8,2,8,7,10,10,5,4,4,7,3,No
56-65,Universitario,2M-4M,Empresa,Trimestral,Transferencia,Nunca,No,2,209000,9,5,10,1,5,9,8,7,10,6,8,9,9,7,7,Sí
56-65,Técnico,1M-2M,Fundación,Anual,Transferencia,1 vez,No,2,994000,7,10,8,10,10,2,4,10,4,10,3,10,2,8,10,No
46-55,Universitario,500k-1M,Individual,Semestral,Otro,2-3 veces,No,1,23000,10,4,6,5,6,7,10,4,6,10,7,9,5,9,8,No
36-45,Secundaria,<500k,Individual,Semestral,Teletón anual,1 vez,Sí,2,116000,9,4,10,4,8,8,7,7,8,10,6,10,6,4,6,Sí
36-45,Universitario,500k-1M,Individual,Primera vez,Transferencia,Nunca,No,0,24000,1,10,10,7,8,1,5,8,5,2,8,7,7,4,6,No
46-55,Postgrado,500k-1M,Empresa,Primera vez,Transferencia,Nunca,No,0,910000,4,10,6,3,6,3,5,3,6,7,10,5,10,8,2,No
56-65,Postgrado,2M-4M,Empresa,Anual,Teletón anual,1 vez,No,2,69000,9,1,10,5,8,6,3,1,2,8,7,8,6,7,9,No
56-65,Universitario,500k-1M,Individual,Anual,Teletón anual,Nunca,Sí,4,43000,8,9,6,2,7,10,8,7,6,7,10,10,10,6,6,No
56-65,Secundaria,500k-1M,Individual,Semestral,Teletón anual,Nunca,Sí,0,51000,5,10,7,1,4,10,8,10,5,8,7,10,1,7,9,Sí
46-55,Universitario,4M+,Individual,Trimestral,Teletón anual,1 vez,No,1,5000,6,7,5,5,6,6,7,10,9,7,6,10,4,7,9,No
18-25,Secundaria,<500k,Individual,Primera vez,Otro,Nunca,No,0,9000,3,10,4,10,5,9,9,8,10,1,10,10,4,7,10,No
26-35,Secundaria,500k-1M,Individual,Primera vez,Web,2-3 veces,No,0,75000,6,2,2,10,5,10,3,3,7,10,7,1,5,4,9,No
56-65,Técnico,<500k,Empresa,Mensual,Transferencia,1 vez,No,2,349000,10,8,1,10,4,10,6,10,8,10,8,7,7,7,6,Sí
46-55,Universitario,1M-2M,Individual,Primera vez,Otro,Nunca,Sí,0,21000,8,1,5,10,8,6,4,1,7,9,8,8,8,7,3,No
18-25,Universitario,2M-4M,Empresa,Anual,Teletón anual,2-3 veces,No,1,3439000,10,7,5,10,10,6,6,4,10,6,8,9,9,8,7,Sí
26-35,Universitario,500k-1M,Empresa,Anual,Presencial,Nunca,No,1,459000,9,10,4,1,9,10,7,3,4,7,7,6,8,8,7,Sí
46-55,Técnico,2M-4M,Individual,Anual,Web,Nunca,No,0,178000,9,4,8,1,10,9,8,3,10,10,5,3,6,8,1,No
18-25,Técnico,500k-1M,Individual,Primera vez,Presencial,Nunca,No,0,160000,10,1,1,6,5,10,5,4,10,10,6,6,10,5,5,Sí
26-35,Postgrado,2M-4M,Individual,Primera vez,Teletón anual,Nunca,No,0,119000,7,2,10,1,5,10,4,5,1,3,8,7,10,5,8,Sí
36-45,Técnico,1M-2M,Individual,Primera vez,Otro,Nunca,No,0,444000,6,8,10,4,4,1,9,1,1,3,6,10,8,10,3,No
46-55,Técnico,1M-2M,Individual,Anual,Teletón anual,Nunca,No,6,45000,9,2,9,6,8,1,10,6,7,10,9,4,10,7,10,Sí
46-55,Secundaria,<500k,Individual,Anual,Teletón anual,Nunca,No,0,109000,10,9,10,5,7,7,7,1,5,2,8,10,9,7,3,No
26-35,Universitario,2M-4M,Individual,Primera vez,Transferencia,Nunca,No,0,25000,5,10,1,7,6,5,4,10,9,5,5,10,10,8,8,No
46-55,Universitario,1M-2M,Individual,Semestral,Teletón anual,1 vez,No,2,948000,6,9,10,1,10,1,10,8,1,8,5,9,2,10,9,No
26-35,Técnico,500k-1M,Individual,Trimestral,Web,1 vez,No,3,540000,8,1,7,1,8,10,4,3,6,4,7,8,8,6,10,No
36-45,Secundaria,1M-2M,Individual,Primera vez,Web,Nunca,No,0,51000,8,10,6,1,4,1,5,10,5,10,6,8,6,4,3,Sí
46-55,Universitario,500k-1M,Individual,Anual,Transferencia,Nunca,No,2,80000,9,9,1,3,6,7,6,7,10,9,8,8,10,5,10,Sí
46-55,Universitario,2M-4M,Individual,Semestral,Teletón anual,Nunca,Sí,2,255000,5,10,7,6,8,2,5,9,6,9,6,10,3,10,4,Sí
56-65,Técnico,<500k,Individual,Primera vez,Teletón anual,Nunca,Sí,0,42000,10,6,6,1,8,1,5,10,2,10,5,10,1,4,4,No
46-55,Postgrado,1M-2M,Individual,Anual,Teletón anual,1 vez,Sí,9,23000,6,10,7,7,8,10,5,1,10,10,9,10,4,7,7,No
46-55,Secundaria,500k-1M,Individual,Semestral,Web,1 vez,No,1,143000,7,10,10,1,10,1,7,8,1,6,8,4,10,5,7,Sí
18-25,Técnico,<500k,Individual,Trimestral,Teletón anual,Nunca,No,0,55000,6,10,5,5,10,4,7,9,8,7,6,6,4,5,10,No
36-45,Postgrado,<500k,Individual,Trimestral,Teletón anual,Nunca,No,10,62000,10,2,6,3,8,10,6,6,1,10,8,4,2,7,9,No
26-35,Técnico,<500k,Individual,Anual,Teletón anual,Nunca,Sí,2,18000,8,10,3,3,5,10,6,10,3,10,10,4,9,6,5,Sí
26-35,Universitario,500k-1M,Empresa,Semestral,Teletón anual,Nunca,Sí,4,618000,6,8,10,1,4,5,7,6,4,9,8,9,5,6,6,Sí
66+,Técnico,500k-1M,Individual,Anual,Web,Nunca,Sí,2,6000,9,6,4,7,6,8,9,5,9,10,9,10,8,10,6,No
36-45,Técnico,500k-1M,Individual,Semestral,Presencial,4+,No,1,66000,9,1,10,3,9,7,7,1,8,9,6,7,2,8,7,Sí
56-65,Postgrado,500k-1M,Individual,Anual,Teletón anual,1 vez,Sí,4,148000,7,6,10,10,10,10,9,8,5,7,9,8,6,9,9,Sí
46-55,Técnico,500k-1M,Individual,Primera vez,Web,Nunca,No,0,38000,8,1,1,10,7,7,7,3,9,5,10,10,10,8,8,No
56-65,Postgrado,1M-2M,Individual,Semestral,Transferencia,Nunca,No,1,280000,6,5,10,6,9,6,8,4,1,10,6,8,1,7,7,No
36-45,Técnico,<500k,Individual,Anual,Web,2-3 veces,No,3,21000,6,3,10,2,7,3,10,5,7,3,5,10,10,6,8,No
46-55,Técnico,2M-4M,Individual,Anual,Transferencia,Nunca,No,7,14000,4,10,10,10,8,4,5,8,8,6,8,10,3,8,2,Sí
36-45,Secundaria,2M-4M,Individual,Trimestral,Web,Nunca,No,4,46000,5,7,10,10,9,1,6,9,2,10,9,6,10,8,10,No
26-35,Universitario,1M-2M,Individual,Primera vez,Web,Nunca,No,0,45000,9,4,9,2,2,10,10,10,4,6,6,10,3,5,5,No
46-55,Técnico,500k-1M,Individual,Anual,Teletón anual,1 vez,No,4,126000,10,1,8,10,6,7,6,6,7,10,6,6,1,8,10,No
26-35,Universitario,2M-4M,Individual,Primera vez,Transferencia,Nunca,No,0,20000,6,1,10,10,8,7,1,3,3,10,6,10,2,5,8,No
18-25,Universitario,<500k,Fundación,Semestral,Transferencia,1 vez,Sí,7,3668000,10,5,1,10,8,10,7,5,10,9,9,6,9,7,10,Sí
46-55,Postgrado,<500k,Individual,Semestral,Teletón anual,2-3 veces,No,4,258000,7,4,10,10,5,1,7,7,8,5,7,9,7,7,9,No
26-35,Técnico,<500k,Individual,Anual,Teletón anual,2-3 veces,No,1,530000,7,10,8,8,2,10,2,6,7,6,9,6,10,5,5,Sí
66+,Universitario,1M-2M,Individual,Semestral,Otro,2-3 veces,Sí,6,48000,8,8,8,1,6,10,10,7,5,10,10,10,10,3,8,Sí
66+,Universitario,<500k,Individual,Anual,Web,Nunca,Sí,5,224000,7,10,10,3,7,10,6,10,10,10,8,7,1,6,8,Sí
56-65,Universitario,500k-1M,Individual,Semestral,Web,Nunca,No,0,14000,7,10,3,9,5,3,8,9,10,8,7,8,2,10,4,No
36-45,Universitario,4M+,Individual,Anual,Presencial,1 vez,No,2,182000,9,5,4,10,7,3,7,5,9,4,9,6,4,7,7,No
18-25,Universitario,2M-4M,Individual,Anual,Transferencia,1 vez,No,2,176000,8,6,10,7,8,7,4,10,1,9,6,10,3,9,3,Sí
56-65,Universitario,500k-1M,Individual,Mensual,Web,Nunca,No,5,141000,9,9,5,10,8,10,5,3,10,9,6,5,10,3,9,Sí
36-45,Secundaria,<500k,Individual,Primera vez,Transferencia,Nunca,No,0,49000,8,5,7,1,1,10,4,2,7,3,6,10,9,4,9,No
66+,Secundaria,1M-2M,Individual,Primera vez,Presencial,1 vez,Sí,0,1000,7,6,6,1,3,10,8,3,1,9,6,5,5,4,4,No
66+,Postgrado,500k-1M,Empresa,Anual,Web,1 vez,No,11,1020000,6,10,3,10,6,8,7,6,10,10,6,3,7,7,10,Sí
56-65,Universitario,<500k,Individual,Mensual,Web,Nunca,Sí,7,23000,5,9,10,1,8,2,6,8,1,4,10,10,10,10,6,No
26-35,Universitario,<500k,Individual,Anual,Teletón anual,Nunca,Sí,11,24000,8,9,6,10,8,1,5,7,8,10,10,7,10,8,5,Sí
36-45,Universitario,2M-4M,Individual,Primera vez,Otro,Nunca,Sí,0,15000,6,9,2,10,7,1,8,6,6,10,6,7,5,10,1,No
56-65,Secundaria,1M-2M,Individual,Anual,Transferencia,Nunca,No,0,58000,7,5,6,9,6,1,10,10,8,5,8,8,1,7,7,No
36-45,Secundaria,1M-2M,Individual,Anual,Teletón anual,Nunca,Sí,4,30000,7,10,1,6,6,4,9,6,10,10,7,6,8,10,6,No
26-35,Universitario,2M-4M,Individual,Primera vez,Presencial,Nunca,No,0,19000,10,9,1,1,5,3,7,10,8,3,8,7,10,10,7,Sí
46-55,Técnico,500k-1M,Individual,Semestral,Web,Nunca,No,9,14000,5,10,5,10,9,6,8,10,10,7,10,10,7,7,7,No
66+,Técnico,500k-1M,Individual,Mensual,Teletón anual,Nunca,No,1,21000,4,10,10,7,5,9,5,7,2,8,4,10,10,6,5,No
46-55,Universitario,500k-1M,Individual,Anual,Web,1 vez,No,18,192000,9,5,5,5,9,9,7,8,10,6,8,9,9,5,10,Sí
46-55,Secundaria,500k-1M,Individual,Anual,Web,1 vez,No,4,23000,7,8,10,4,7,7,6,8,5,6,5,10,1,7,9,Sí
18-25,Universitario,500k-1M,Empresa,Anual,Presencial,Nunca,No,7,2895000,8,10,10,10,7,5,3,10,6,8,10,5,5,7,7,No
46-55,Técnico,1M-2M,Individual,Primera vez,Teletón anual,Nunca,No,0,27000,7,8,9,10,5,1,8,4,4,8,7,5,5,10,6,No
66+,Universitario,1M-2M,Individual,Trimestral,Presencial,2-3 veces,No,1,29000,10,4,6,9,4,8,6,4,9,7,6,9,10,5,10,Sí
26-35,Técnico,2M-4M,Individual,Anual,Web,Nunca,No,6,75000,5,10,10,1,6,3,9,8,1,4,7,8,6,7,4,No
36-45,Técnico,500k-1M,Individual,Anual,Teletón anual,4+,No,0,86000,6,8,1,10,6,10,9,5,6,8,7,7,9,4,10,No
56-65,Secundaria,1M-2M,Empresa,Semestral,Otro,1 vez,Sí,8,42000,8,4,7,10,2,10,8,5,8,10,8,6,8,6,6,Sí
46-55,Secundaria,1M-2M,Individual,Anual,Web,Nunca,No,0,1000,9,7,3,10,7,10,8,7,3,6,9,3,10,8,8,No
46-55,Técnico,500k-1M,Individual,Semestral,Teletón anual,4+,No,5,170000,10,1,10,10,9,9,6,4,3,10,5,9,4,8,5,Sí
46-55,Universitario,1M-2M,Individual,Primera vez,Web,Nunca,No,0,280000,8,8,10,10,7,5,10,4,2,1,10,8,1,7,4,No
36-45,Universitario,<500k,Individual,Trimestral,Presencial,Nunca,No,4,14000,7,10,8,4,6,5,7,7,4,1,10,10,10,8,10,Sí
26-35,Técnico,500k-1M,Individual,Mensual,Teletón anual,Nunca,No,5,16000,6,10,1,10,7,4,8,8,10,6,6,8,10,8,10,No
56-65,Universitario,<500k,Individual,Semestral,Teletón anual,Nunca,No,2,29000,6,10,8,4,6,1,6,6,8,9,8,5,10,7,1,No
56-65,Universitario,500k-1M,Individual,Mensual,Teletón anual,2-3 veces,Sí,1,20000,6,8,7,10,7,10,5,4,10,5,10,10,4,5,10,Sí
56-65,Universitario,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,65000,7,10,3,10,9,5,7,4,5,3,9,10,3,3,8,No
56-65,Secundaria,1M-2M,Individual,Anual,Transferencia,Nunca,No,4,5000,8,10,2,2,9,2,7,10,8,10,7,6,4,6,6,No
36-45,Universitario,2M-4M,Empresa,Anual,Web,Nunca,No,3,1202000,5,10,10,3,8,2,5,7,4,7,9,10,10,7,4,Sí
36-45,Secundaria,1M-2M,Empresa,Anual,Teletón anual,1 vez,Sí,6,334000,7,10,2,10,6,2,4,10,2,10,10,6,6,10,3,No
56-65,Técnico,1M-2M,Empresa,Anual,Teletón anual,Nunca,No,3,642000,9,10,2,6,8,6,4,5,10,9,8,6,4,7,6,Sí
46-55,Postgrado,500k-1M,Individual,Anual,Teletón anual,Nunca,No,2,13000,8,3,10,10,4,10,9,3,8,7,6,7,7,7,4,No
46-55,Secundaria,1M-2M,Individual,Primera vez,Otro,1 vez,No,0,317000,7,7,1,4,5,4,5,10,10,5,7,10,4,7,3,No
56-65,Universitario,<500k,Empresa,Anual,Teletón anual,Nunca,No,0,2452000,8,10,7,10,8,1,6,9,4,9,8,8,10,7,4,Sí
56-65,Universitario,500k-1M,Individual,Primera vez,Otro,1 vez,No,0,16000,9,8,1,1,7,4,9,7,6,3,6,10,2,8,7,No
36-45,Universitario,500k-1M,Individual,Semestral,Web,Nunca,No,17,222000,8,10,10,10,8,5,5,6,4,2,8,5,10,10,6,Sí
36-45,Universitario,500k-1M,Empresa,Primera vez,Teletón anual,1 vez,No,0,83000,6,1,6,6,7,3,5,1,9,7,4,8,8,10,6,No
18-25,Secundaria,<500k,Empresa,Primera vez,Presencial,1 vez,No,0,109000,5,7,7,1,6,4,4,10,6,9,5,7,10,6,6,Sí
46-55,Técnico,<500k,Individual,Anual,Web,Nunca,No,4,77000,8,6,10,9,8,6,10,5,7,7,9,10,10,8,4,Sí
18-25,Universitario,500k-1M,Individual,Anual,Transferencia,Nunca,No,8,6000,3,10,8,8,5,7,10,7,9,10,4,5,9,10,7,Sí
36-45,Secundaria,4M+,Individual,Trimestral,Otro,2-3 veces,No,3,107000,7,6,10,1,5,9,9,2,4,1,9,10,7,7,4,No
36-45,Técnico,500k-1M,Empresa,Anual,Teletón anual,Nunca,No,0,27000,7,1,10,1,7,8,9,6,5,10,4,8,8,9,9,No
26-35,Secundaria,500k-1M,Empresa,Anual,Teletón anual,2-3 veces,Sí,0,219000,5,1,10,9,7,6,6,6,7,10,4,6,6,5,5,No
46-55,Secundaria,<500k,Individual,Trimestral,Transferencia,Nunca,Sí,3,43000,6,10,10,10,3,8,10,10,6,7,7,10,1,7,6,No
18-25,Técnico,1M-2M,Individual,Anual,Teletón anual,Nunca,No,16,29000,9,6,8,10,8,10,8,7,2,9,8,6,10,9,6,Sí
18-25,Secundaria,500k-1M,Empresa,Primera vez,Teletón anual,Nunca,No,0,3678000,7,3,6,6,8,7,8,2,5,4,9,10,6,5,10,No
56-65,Universitario,<500k,Individual,Anual,Teletón anual,2-3 veces,No,0,67000,7,6,10,7,7,10,7,7,1,10,8,9,1,7,9,No
36-45,Universitario,500k-1M,Individual,Trimestral,Teletón anual,Nunca,No,1,88000,8,1,10,6,10,10,6,5,6,2,7,10,1,4,9,Sí
26-35,Universitario,<500k,Fundación,Anual,Transferencia,2-3 veces,No,7,2216000,8,1,6,2,6,8,10,1,5,10,9,6,1,10,10,No
36-45,Técnico,<500k,Individual,Anual,Teletón anual,2-3 veces,Sí,8,117000,10,5,9,1,6,10,8,3,8,9,6,10,9,10,1,No
46-55,Secundaria,<500k,Individual,Primera vez,Web,Nunca,No,0,206000,6,5,7,7,5,1,9,8,4,2,7,10,4,7,3,No
26-35,Secundaria,<500k,Individual,Primera vez,Web,Nunca,No,0,82000,4,10,6,6,6,6,7,9,1,7,4,1,10,7,3,Sí
46-55,Universitario,<500k,Individual,Anual,Web,1 vez,No,0,10000,10,5,2,10,6,7,5,3,10,8,8,10,8,8,2,Sí
18-25,Universitario,500k-1M,Empresa,Anual,Teletón anual,Nunca,No,8,417000,8,10,4,10,4,10,6,10,9,10,7,8,6,10,4,No
18-25,Secundaria,1M-2M,Individual,Primera vez,Transferencia,1 vez,No,0,28000,5,9,10,5,5,10,6,7,4,10,5,1,8,5,10,Sí
36-45,Postgrado,500k-1M,Fundación,Mensual,Teletón anual,Nunca,No,1,1375000,5,10,9,5,7,4,6,10,5,10,8,9,7,9,5,No
36-45,Secundaria,500k-1M,Individual,Semestral,Transferencia,Nunca,No,6,1709000,8,7,1,4,9,7,5,5,9,5,8,10,6,9,6,Sí
46-55,Universitario,500k-1M,Individual,Anual,Presencial,1 vez,Sí,1,119000,7,10,9,6,10,3,9,9,7,10,10,10,1,10,1,No
46-55,Universitario,2M-4M,Individual,Trimestral,Web,Nunca,No,0,858000,10,4,10,7,10,9,6,8,10,9,5,10,3,3,8,Sí
66+,Universitario,500k-1M,Individual,Primera vez,Web,Nunca,Sí,0,267000,6,6,6,1,4,4,6,6,6,7,6,10,7,5,5,No
36-45,Universitario,<500k,Individual,Anual,Web,Nunca,Sí,1,67000,6,8,10,1,6,10,8,7,6,10,6,8,3,5,10,No
36-45,Universitario,1M-2M,Individual,Semestral,Teletón anual,Nunca,No,2,72000,9,10,2,2,7,7,6,8,8,4,9,3,10,8,2,No
56-65,Técnico,<500k,Individual,Trimestral,Presencial,Nunca,No,2,48000,9,7,3,10,10,9,10,10,5,7,9,10,10,3,8,No
26-35,Universitario,500k-1M,Individual,Semestral,Presencial,1 vez,No,3,6000,8,2,10,1,7,7,5,6,6,5,8,8,10,3,10,No
36-45,Secundaria,500k-1M,Individual,Primera vez,Teletón anual,Nunca,Sí,0,51000,7,5,6,6,3,4,7,3,9,6,5,6,10,10,3,No
18-25,Postgrado,2M-4M,Individual,Mensual,Web,Nunca,No,1,214000,7,10,1,10,6,10,7,6,10,7,9,7,10,8,1,Sí
18-25,Universitario,500k-1M,Individual,Primera vez,Otro,1 vez,No,0,24000,7,6,5,5,8,1,6,7,7,10,4,8,4,7,10,No
66+,Universitario,1M-2M,Individual,Trimestral,Otro,Nunca,No,4,82000,9,4,6,3,8,1,4,10,9,8,4,7,10,8,10,Sí
56-65,Técnico,4M+,Individual,Mensual,Web,Nunca,No,2,139000,8,1,10,3,7,7,9,1,7,10,5,4,10,8,10,No
46-55,Universitario,<500k,Individual,Primera vez,Web,2-3 veces,Sí,0,17000,6,8,6,1,7,1,7,10,10,9,6,8,4,8,1,No
36-45,Universitario,500k-1M,Individual,Semestral,Teletón anual,1 vez,No,9,29000,10,7,4,7,2,7,6,10,10,6,9,7,5,6,10,No
26-35,Universitario,500k-1M,Individual,Primera vez,Otro,Nunca,No,0,15000,2,10,10,7,6,6,7,9,4,10,1,1,3,7,4,No
26-35,Secundaria,500k-1M,Empresa,Anual,Teletón anual,Nunca,No,9,67000,10,1,9,2,9,1,8,6,1,5,10,7,7,8,5,No
26-35,Secundaria,500k-1M,Empresa,Anual,Web,Nunca,Sí,3,241000,4,9,6,10,5,5,4,9,7,9,8,6,4,5,7,Sí
36-45,Técnico,2M-4M,Individual,Anual,Teletón anual,Nunca,No,1,19000,6,7,10,5,5,10,5,6,6,2,5,10,10,10,9,No
46-55,Secundaria,1M-2M,Individual,Mensual,Teletón anual,Nunca,No,5,11000,7,10,7,10,3,10,9,10,9,8,8,4,10,6,8,Sí
46-55,Universitario,1M-2M,Empresa,Semestral,Web,Nunca,No,1,54000,7,7,7,4,10,1,8,6,10,1,9,10,10,9,8,No
26-35,Técnico,500k-1M,Individual,Anual,Otro,Nunca,No,3,17000,9,3,9,1,6,10,6,9,6,3,9,8,8,8,7,Sí
66+,Postgrado,1M-2M,Empresa,Trimestral,Teletón anual,Nunca,No,0,92000,5,10,3,10,7,8,5,6,10,3,9,8,4,10,6,No
46-55,Técnico,2M-4M,Empresa,Mensual,Web,Nunca,No,8,896000,8,6,7,10,8,10,6,6,1,6,5,9,3,5,7,Sí
46-55,Técnico,1M-2M,Empresa,Primera vez,Teletón anual,2-3 veces,No,0,86000,5,1,8,8,9,5,5,1,7,6,6,5,5,4,10,No
46-55,Universitario,<500k,Individual,Mensual,Teletón anual,Nunca,No,11,275000,8,5,7,7,7,10,5,8,4,7,6,9,9,6,5,Sí
36-45,Universitario,1M-2M,Individual,Primera vez,Web,Nunca,No,0,17000,6,10,8,1,5,1,3,9,1,7,10,4,8,7,7,No
26-35,Universitario,<500k,Individual,Trimestral,Web,Nunca,No,3,58000,8,8,8,1,7,1,9,7,7,7,9,5,10,10,7,Sí
36-45,Universitario,500k-1M,Individual,Anual,Teletón anual,Nunca,No,6,27000,7,8,10,4,10,3,9,5,1,1,10,10,4,10,9,No
46-55,Universitario,<500k,Individual,Primera vez,Teletón anual,1 vez,Sí,0,206000,5,4,7,10,6,10,3,5,6,9,6,5,5,2,10,Sí
18-25,Técnico,1M-2M,Individual,Anual,Teletón anual,Nunca,Sí,7,241000,8,9,10,7,5,4,7,10,5,10,6,6,4,8,7,No
26-35,Postgrado,1M-2M,Individual,Semestral,Teletón anual,Nunca,No,3,141000,9,6,8,7,4,10,5,7,10,7,7,9,9,1,10,Sí
18-25,Postgrado,<500k,Empresa,Anual,Otro,Nunca,No,7,2653000,6,8,9,6,5,5,6,10,1,5,10,7,10,9,10,No
18-25,Universitario,500k-1M,Individual,Primera vez,Otro,1 vez,No,0,72000,5,7,7,7,8,1,5,3,9,7,6,7,1,8,5,No
56-65,Técnico,500k-1M,Empresa,Anual,Teletón anual,Nunca,No,13,449000,9,10,2,2,6,10,6,8,10,9,8,8,10,7,4,Sí
46-55,Universitario,500k-1M,Empresa,Trimestral,Web,Nunca,No,3,568000,7,7,9,6,6,10,10,3,9,3,8,10,10,7,7,No
36-45,Secundaria,<500k,Individual,Anual,Presencial,Nunca,No,3,38000,9,5,7,1,6,3,6,9,6,6,8,10,10,7,4,Sí
18-25,Secundaria,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,12000,5,3,5,5,6,2,4,6,2,10,5,6,4,5,8,No
36-45,Técnico,1M-2M,Empresa,Anual,Presencial,Nunca,Sí,8,329000,4,1,10,7,7,4,5,5,1,10,7,3,7,8,10,Sí
36-45,Universitario,<500k,Individual,Primera vez,Otro,Nunca,No,0,515000,5,10,1,9,5,7,8,10,5,9,6,1,8,6,6,Sí
26-35,Universitario,<500k,Individual,Trimestral,Teletón anual,1 vez,No,1,20000,6,10,4,7,10,1,4,7,10,8,7,10,2,9,2,Sí
36-45,Universitario,500k-1M,Individual,Trimestral,Teletón anual,1 vez,No,3,111000,7,3,10,9,10,9,5,5,9,10,9,7,7,7,10,Sí
36-45,Universitario,2M-4M,Individual,Anual,Otro,Nunca,No,15,178000,7,9,10,1,4,10,10,4,3,10,10,9,1,6,3,No
46-55,Técnico,1M-2M,Individual,Anual,Web,Nunca,No,6,26000,9,5,7,7,8,10,7,5,9,7,6,7,1,4,4,No
46-55,Técnico,1M-2M,Individual,Trimestral,Teletón anual,Nunca,No,8,174000,7,10,7,1,5,4,7,9,3,5,7,8,10,4,9,Sí
18-25,Técnico,500k-1M,Individual,Anual,Teletón anual,4+,No,0,125000,7,2,10,1,7,10,10,2,5,7,6,7,10,10,7,Sí
36-45,Postgrado,500k-1M,Individual,Trimestral,Web,Nunca,No,3,398000,8,7,1,8,8,1,7,10,10,10,8,10,1,6,9,No
46-55,Secundaria,<500k,Individual,Semestral,Transferencia,1 vez,Sí,5,28000,8,6,7,10,7,10,6,10,3,5,7,10,2,8,7,Sí
36-45,Universitario,1M-2M,Individual,Semestral,Transferencia,Nunca,No,8,11000,8,9,10,5,7,10,6,8,4,6,8,7,10,10,10,Sí
56-65,Universitario,2M-4M,Individual,Anual,Otro,Nunca,No,0,27000,8,6,4,8,8,5,5,10,10,3,9,5,8,6,8,No
46-55,Técnico,1M-2M,Empresa,Anual,Teletón anual,Nunca,No,9,1594000,6,1,10,10,8,10,10,3,1,10,3,10,5,6,10,Sí
26-35,Universitario,2M-4M,Individual,Mensual,Web,Nunca,No,4,64000,10,3,3,3,6,8,8,5,10,3,8,8,10,7,10,No
18-25,Universitario,1M-2M,Individual,Anual,Web,2-3 veces,No,1,54000,7,6,8,4,6,8,9,10,8,7,7,10,10,7,4,Sí
46-55,Universitario,<500k,Individual,Anual,Web,2-3 veces,No,2,31000,5,9,6,10,4,10,9,8,9,2,8,10,3,10,6,Sí
18-25,Postgrado,2M-4M,Individual,Primera vez,Teletón anual,Nunca,Sí,0,5000,7,10,6,1,4,10,5,6,5,10,5,6,1,9,10,No
46-55,Técnico,<500k,Individual,Semestral,Otro,Nunca,Sí,3,88000,6,2,10,10,10,10,5,4,1,10,10,10,6,8,5,No
66+,Técnico,500k-1M,Empresa,Anual,Presencial,2-3 veces,No,0,1619000,8,5,10,5,5,9,7,5,6,6,9,6,4,10,4,No
46-55,Universitario,<500k,Individual,Primera vez,Web,1 vez,Sí,0,533000,10,1,1,10,4,3,4,2,9,8,8,5,1,6,8,No
36-45,Postgrado,<500k,Empresa,Primera vez,Web,Nunca,No,0,826000,5,8,7,10,7,5,6,8,6,5,8,10,6,7,4,No
46-55,Técnico,500k-1M,Individual,Anual,Teletón anual,Nunca,No,1,87000,8,10,5,1,7,3,9,10,10,9,6,7,9,7,6,Sí
36-45,Universitario,500k-1M,Individual,Semestral,Web,Nunca,No,1,104000,4,9,10,4,7,10,7,9,8,7,6,9,9,5,7,Sí
36-45,Universitario,500k-1M,Individual,Anual,Transferencia,Nunca,Sí,3,99000,8,7,4,3,10,3,7,8,10,10,9,10,6,10,10,Sí
66+,Universitario,500k-1M,Empresa,Primera vez,Web,Nunca,No,0,1167000,5,5,10,1,7,1,6,5,3,10,5,8,3,7,6,No
